organism_code,antibiotic_code,count
77,25,2
77,36,7
77,47,7
78,25,1
78,36,1
78,47,1
79,18,19
79,20,104
79,23,26
79,25,112
79,36,139
79,47,141
80,18,18
80,20,98
80,23,20
80,25,108
80,36,127
80,47,127
81,18,54
81,20,19
81,23,54
81,25,25
81,36,79
81,46,1
81,47,82
82,18,4
82,23,4
82,36,3
82,47,4
83,18,55
83,20,17
83,23,40
83,25,17
83,29,2
83,36,60
83,47,72
84,18,31
84,20,2
84,23,30
84,25,3
84,36,34
84,47,34
85,0,5
85,1,7
85,2,7
85,3,5
85,5,8
85,6,10
85,8,1
85,9,1
85,10,4
85,13,5
85,15,11
85,18,12
85,24,6
85,26,12
85,27,4
85,28,10
85,30,8
85,33,1
85,34,3
85,38,12
85,41,3
85,44,2
85,45,3
85,46,3
86,3,1
86,20,1
86,30,1
86,31,1
86,36,1
87,20,1
87,25,1
87,47,1
88,18,2
88,23,1
88,36,2
88,47,2
89,3,1
89,20,1
89,30,1
89,31,1
89,36,1
90,0,7
90,3,2
90,6,7
90,13,4
90,18,7
90,26,7
90,27,6
90,28,3
90,30,6
90,38,6
90,45,7
90,46,5
91,0,8
91,6,9
91,13,9
91,18,9
91,26,10
91,27,5
91,28,9
91,30,10
91,38,5
91,45,10
92,0,2
92,1,2
92,2,3
92,3,1
92,5,3
92,6,1
92,10,2
92,13,2
92,15,2
92,18,3
92,24,2
92,26,3
92,28,4
92,30,2
92,34,2
92,36,1
92,38,2
92,41,2
92,44,1
92,45,2
92,47,1
93,2,1
93,3,1
93,5,1
93,6,1
93,8,1
93,15,1
93,18,1
93,26,1
93,27,1
93,28,1
93,30,1
93,38,1
93,46,1
94,1,3
94,5,5
94,6,2
94,10,5
94,18,7
94,24,1
94,26,7
94,28,7
94,30,1
94,34,3
94,38,6
95,0,3
95,1,1
95,2,1
95,5,3
95,6,1
95,10,1
95,13,3
95,15,3
95,18,3
95,24,3
95,26,3
95,27,1
95,28,1
95,30,3
95,33,1
95,38,3
95,41,1
95,44,1
95,45,1
96,0,9
96,1,26
96,2,142
96,3,111
96,4,10
96,5,302
96,6,171
96,8,53
96,9,43
96,10,228
96,13,96
96,15,114
96,16,1
96,18,373
96,24,45
96,26,380
96,27,165
96,28,370
96,30,166
96,34,124
96,38,282
96,41,5
96,44,1
96,45,4
96,46,137
97,0,1198
97,1,1273
97,2,302
97,3,297
97,5,1314
97,6,645
97,10,1293
97,13,1406
97,14,69
97,15,1402
97,18,1490
97,24,1246
97,26,1503
97,27,206
97,28,1257
97,30,1298
97,33,173
97,34,638
97,37,1
97,38,1452
97,41,987
97,44,176
97,45,969
97,46,44
98,0,24
98,1,24
98,2,4
98,3,4
98,5,21
98,6,20
98,10,24
98,13,24
98,14,4
98,15,24
98,18,24
98,24,24
98,26,24
98,27,6
98,28,24
98,30,23
98,33,3
98,34,9
98,38,23
98,41,22
98,44,5
98,45,22
99,0,16
99,1,15
99,2,5
99,3,3
99,5,20
99,6,10
99,8,2
99,9,1
99,10,14
99,13,19
99,15,21
99,18,23
99,24,17
99,26,23
99,27,2
99,28,19
99,30,16
99,34,16
99,38,23
99,41,12
99,45,12
99,46,3
100,0,3
100,1,2
100,2,6
100,3,3
100,4,1
100,5,11
100,6,8
100,8,3
100,9,2
100,10,5
100,13,5
100,15,9
100,18,15
100,24,4
100,26,15
100,27,5
100,28,12
100,30,10
100,34,4
100,38,12
100,41,1
100,45,1
100,46,5
101,2,1
101,10,1
101,18,1
101,26,1
101,28,1
101,38,1
101,46,1
102,2,28
102,18,7
102,22,13
102,28,9
102,29,20
102,34,6
102,36,28
102,39,1
102,41,8
102,47,28
103,2,44
103,18,3
103,22,20
103,23,1
103,28,4
103,29,26
103,34,3
103,36,42
103,39,1
103,41,3
103,47,31
104,2,2
104,36,2
104,47,2
105,2,5
105,18,3
105,22,1
105,28,3
105,29,4
105,34,2
105,36,5
105,41,2
105,47,5
106,2,1576
106,3,1
106,18,979
106,20,1
106,22,324
106,23,11
106,25,1
106,28,292
106,29,1098
106,30,1
106,31,1
106,34,999
106,36,598
106,39,121
106,41,997
106,44,1
106,47,1342
107,2,2
107,22,2
107,23,1
107,29,2
107,36,2
107,39,1
107,47,2
108,2,438
108,18,195
108,22,180
108,23,32
108,28,151
108,29,365
108,32,1
108,34,141
108,36,390
108,39,21
108,41,211
108,44,1
108,47,434
109,2,72
109,18,6
109,22,61
109,23,12
109,28,6
109,29,70
109,34,2
109,36,72
109,39,24
109,41,6
109,44,1
109,47,72
110,2,38
110,18,9
110,22,13
110,28,10
110,29,28
110,34,11
110,36,34
110,39,1
110,41,10
110,47,25
111,2,24
111,18,9
111,22,9
111,28,7
111,29,20
111,34,10
111,36,22
111,41,9
111,47,24
112,2,9479
112,18,8037
112,20,1
112,22,3095
112,23,219
112,25,1
112,28,9326
112,29,4585
112,34,9100
112,36,4750
112,39,64
112,41,9362
112,46,1
112,47,4714
113,0,40392
113,1,36139
113,2,60803
113,3,11428
113,4,167
113,5,51084
113,6,18671
113,7,2
113,8,393
113,9,353
113,10,30080
113,11,9
113,13,38828
113,14,275
113,15,45007
113,16,86
113,18,60909
113,23,9
113,24,40049
113,26,61312
113,27,3519
113,28,51067
113,30,41780
113,32,4
113,33,841
113,34,56118
113,37,92
113,38,53382
113,41,33156
113,42,21
113,44,989
113,45,28938
113,46,1101
114,2,1
114,3,1
114,5,1
114,6,1
114,8,1
114,9,1
114,15,1
114,18,1
114,26,1
114,27,1
114,28,1
114,30,1
114,38,1
114,46,1
115,0,5
115,1,6
115,2,6
115,3,4
115,5,5
115,6,4
115,10,4
115,13,5
115,15,6
115,18,7
115,24,6
115,26,7
115,28,6
115,30,6
115,33,2
115,34,1
115,38,7
115,41,4
115,44,2
115,45,4
116,0,2
116,1,3
116,2,4
116,3,3
116,5,4
116,6,3
116,10,3
116,13,2
116,15,3
116,18,4
116,24,3
116,26,4
116,27,2
116,28,4
116,30,3
116,33,1
116,34,2
116,38,4
116,41,2
116,44,2
116,45,2
117,2,2
117,3,2
117,6,2
117,15,2
117,18,2
117,26,2
117,27,2
117,28,2
117,30,2
117,38,2
117,46,2
118,3,2
118,20,3
118,30,2
118,31,3
118,36,2
119,2,1
119,18,1
119,26,1
119,28,1
119,38,1
119,46,1
120,0,2
120,3,2
120,6,3
120,13,1
120,18,2
120,26,3
120,27,1
120,28,2
120,30,3
120,38,3
120,45,3
120,46,2
121,3,6
121,20,5
121,30,6
121,31,6
121,36,6
122,3,16
122,9,2
122,20,24
122,30,20
122,31,24
122,36,23
123,3,12
123,20,11
123,30,12
123,31,12
123,36,12
124,0,1
124,1,1
124,29,1
125,0,2
125,2,2
125,3,3
125,5,4
125,6,1
125,9,1
125,13,1
125,15,3
125,18,5
125,20,1
125,24,2
125,26,5
125,28,1
125,30,2
125,31,1
125,34,4
125,36,1
125,38,3
125,41,1
125,42,1
126,0,1
126,6,4
126,18,3
126,26,4
126,30,1
126,38,4
126,45,4
126,46,4
127,20,1
127,25,1
127,36,1
127,47,1
128,1,1
128,15,1
128,27,1
128,28,1
129,0,2
129,2,4
129,3,4
129,5,3
129,13,4
129,15,4
129,18,4
129,24,4
129,26,4
129,30,4
129,34,3
129,38,4
130,0,37
130,1,33
130,2,47
130,3,19
130,5,43
130,6,10
130,9,1
130,10,35
130,13,36
130,15,39
130,18,50
130,24,37
130,26,50
130,27,6
130,28,44
130,30,39
130,33,2
130,34,40
130,38,41
130,41,25
130,44,3
130,45,30
130,46,3
131,0,1
131,1,1
131,2,1
131,5,1
131,10,1
131,13,1
131,15,1
131,18,1
131,24,1
131,26,1
131,28,1
131,30,1
131,34,1
131,38,1
131,41,1
131,45,1
132,0,689
132,1,546
132,2,87
132,3,85
132,5,634
132,6,230
132,10,546
132,13,687
132,15,689
132,18,685
132,24,684
132,26,690
132,27,59
132,28,534
132,30,623
132,33,84
132,34,207
132,38,669
132,41,543
132,44,82
132,45,543
133,0,8
133,1,8
133,2,1
133,3,1
133,5,6
133,6,7
133,10,8
133,13,8
133,15,7
133,18,8
133,24,8
133,26,8
133,27,1
133,28,5
133,30,7
133,33,1
133,34,5
133,38,8
133,41,5
133,44,1
133,45,8
134,0,1096
134,1,1121
134,2,1635
134,3,404
134,4,3
134,5,1332
134,6,623
134,8,28
134,9,20
134,10,920
134,13,1104
134,14,79
134,15,1307
134,16,1
134,18,1641
134,24,1141
134,26,1670
134,27,268
134,28,1454
134,30,1230
134,33,157
134,34,1032
134,37,3
134,38,1571
134,41,930
134,44,168
134,45,900
134,46,115
135,18,2
135,26,2
135,28,2
135,38,2
135,46,2
136,0,7021
136,1,6907
136,2,10344
136,3,2211
136,4,12
136,5,8451
136,6,3232
136,7,2
136,8,142
136,9,101
136,10,5691
136,13,6881
136,14,110
136,15,8109
136,16,10
136,18,10189
136,23,3
136,24,7165
136,26,10352
136,27,889
136,28,8625
136,30,7587
136,33,325
136,34,4654
136,37,9
136,38,9510
136,41,5743
136,44,367
136,45,5489
136,46,415
137,0,20
137,1,16
137,2,20
137,3,3
137,5,15
137,6,9
137,7,4
137,10,18
137,13,20
137,14,2
137,15,20
137,18,19
137,24,19
137,26,18
137,27,6
137,28,17
137,30,16
137,33,1
137,34,17
137,38,19
137,41,16
137,44,1
137,45,16
138,2,4
138,3,1
138,5,3
138,6,1
138,10,1
138,18,4
138,26,4
138,27,1
138,28,4
138,30,1
138,34,3
138,38,1
139,0,14
139,1,19
139,2,19
139,3,3
139,5,20
139,6,8
139,8,2
139,9,2
139,10,14
139,13,16
139,15,21
139,18,21
139,24,15
139,26,21
139,27,2
139,28,20
139,30,16
139,34,15
139,38,20
139,41,13
139,45,14
139,46,2
140,2,1
140,3,1
140,5,1
140,6,1
140,8,1
140,9,1
140,10,1
140,15,1
140,18,2
140,26,2
140,27,1
140,28,2
140,30,1
140,38,2
140,46,2
141,2,1
141,5,2
141,18,2
141,26,2
141,28,2
141,34,1
141,38,2
142,0,6
142,1,8
142,2,6
142,3,2
142,5,8
142,6,3
142,10,6
142,13,7
142,15,7
142,18,9
142,24,6
142,26,9
142,27,1
142,28,9
142,30,6
142,33,1
142,34,4
142,38,9
142,41,6
142,44,2
142,45,6
143,20,1
143,25,1
143,36,1
143,47,1
144,20,7
144,25,7
144,36,7
144,47,7
145,20,6
145,25,5
145,31,1
145,36,6
145,47,5
146,0,7
146,1,7
146,2,12
146,3,11
146,5,14
146,6,11
146,10,4
146,13,7
146,15,12
146,18,18
146,20,1
146,24,7
146,25,1
146,26,19
146,27,1
146,28,12
146,30,8
146,33,2
146,34,6
146,35,1
146,36,1
146,38,14
146,41,4
146,44,4
146,45,4
146,46,2
146,47,1
147,0,1
147,1,2
147,2,3
147,3,1
147,5,3
147,6,1
147,10,1
147,13,1
147,15,2
147,18,3
147,24,2
147,26,3
147,28,3
147,30,2
147,34,2
147,38,3
147,41,1
147,45,1
147,46,1
148,36,1
149,2,23
149,36,1
149,46,2
150,2,2
151,25,1
151,36,1
151,47,1
152,2,1
152,28,1
152,34,1
152,41,1
153,15,1
153,18,1
153,30,1
154,0,1
154,13,1
154,18,1
154,26,1
154,27,1
154,30,1
154,38,1
154,45,1
154,46,1
155,0,457
155,1,421
155,2,614
155,3,226
155,4,6
155,5,605
155,6,194
155,8,11
155,9,8
155,10,228
155,13,490
155,14,24
155,15,492
155,16,2
155,18,650
155,24,450
155,26,665
155,27,51
155,28,512
155,30,495
155,33,17
155,34,563
155,38,617
155,41,417
155,44,49
155,45,328
155,46,38
156,0,3009
156,6,2174
156,13,3235
156,14,1442
156,18,2655
156,21,97
156,23,1
156,26,33
156,27,2195
156,28,716
156,30,2807
156,32,1
156,37,1630
156,38,1566
156,43,1205
156,45,3237
157,0,148
157,10,74
157,18,76
157,19,149
157,23,76
157,27,20
157,29,134
157,32,21
157,33,27
157,45,27
157,46,50
158,0,62
158,10,19
158,18,59
158,19,65
158,23,57
158,27,18
158,29,50
158,32,44
158,33,60
158,45,57
159,0,166
159,19,790
159,29,193
159,33,197
160,19,1
161,0,29
161,10,59
161,18,60
161,19,94
161,23,60
161,27,8
161,29,81
161,32,21
161,33,27
161,45,99
161,46,29
162,0,2
162,10,2
162,18,2
162,19,2
162,23,2
162,27,1
162,29,2
162,32,1
162,33,1
163,0,32
163,10,19
163,18,31
163,19,27
163,23,31
163,27,26
163,29,29
163,32,7
163,33,8
163,45,6
163,46,20
164,0,9
164,10,10
164,18,10
164,19,9
164,23,10
164,27,1
164,29,9
164,32,2
164,45,1
164,46,4
165,0,1
165,10,1
165,18,1
165,19,1
165,23,1
165,29,1
165,46,1
166,0,2
166,10,1
166,18,2
166,19,1
166,23,2
166,27,2
166,29,2
166,32,1
166,33,1
166,45,1
167,0,4
167,10,3
167,18,5
167,19,5
167,23,5
167,27,1
167,29,5
167,32,3
167,33,3
167,45,2
167,46,1
168,0,1
168,18,1
168,19,1
168,40,1
169,0,1
169,13,2
169,18,2
169,26,2
169,27,1
169,38,1
169,41,1
169,45,1
170,0,1
170,1,1
170,29,1
170,46,1
171,0,12
171,1,9
171,15,6
171,18,6
171,19,6
171,23,3
171,27,4
171,29,11
171,32,2
171,33,5
171,45,6
172,0,6
172,1,6
172,15,2
172,18,3
172,19,3
172,23,1
172,27,1
172,29,6
172,33,3
172,46,2
173,0,10
173,1,9
173,15,2
173,18,3
173,19,3
173,23,2
173,27,3
173,29,9
173,33,3
173,45,3
173,46,4
174,0,1
174,1,1
174,15,1
174,18,1
174,19,1
174,27,1
174,29,1
174,45,1
175,0,14
175,1,11
175,6,2
175,15,6
175,18,7
175,19,5
175,23,7
175,27,6
175,29,14
175,32,6
175,33,5
175,45,6
175,46,3
176,0,1
176,1,1
176,29,1
176,46,1
177,0,4
177,1,5
177,15,1
177,18,1
177,19,1
177,27,1
177,29,5
177,33,1
177,45,1
177,46,2
178,0,43
178,3,8
178,5,3
178,6,59
178,13,36
178,15,5
178,18,57
178,24,3
178,26,60
178,27,15
178,28,23
178,30,38
178,38,60
178,42,1
178,45,55
178,46,32
179,0,4
179,1,1
179,2,2
179,3,1
179,5,3
179,6,3
179,10,1
179,13,4
179,15,3
179,18,6
179,24,2
179,26,6
179,27,2
179,28,1
179,30,3
179,33,1
179,38,5
179,41,2
179,42,1
179,44,1
179,45,2
180,3,1
180,20,1
180,30,1
180,31,1
180,36,1
181,0,3
181,3,6
181,6,6
181,13,4
181,18,8
181,26,9
181,27,3
181,28,2
181,30,2
181,38,8
181,45,9
181,46,9
182,0,14
182,3,5
182,6,35
182,13,9
182,18,36
182,26,35
182,27,13
182,28,6
182,30,8
182,38,36
182,45,35
182,46,37
183,0,2
183,1,2
183,29,2
183,46,2
184,0,5
184,6,5
184,13,6
184,18,6
184,26,5
184,27,5
184,28,6
184,30,6
184,38,6
184,45,6
185,0,2
185,3,1
185,6,2
185,13,3
185,18,4
185,26,4
185,27,2
185,28,1
185,30,2
185,38,4
185,45,4
185,46,3
186,6,1
186,18,1
186,26,1
186,38,1
186,45,1
186,46,1
187,18,1
187,20,1
187,27,1
187,36,1
187,47,1
188,0,10
188,1,12
188,2,26
188,3,18
188,5,19
188,6,22
188,8,5
188,9,3
188,10,12
188,13,10
188,15,24
188,18,36
188,24,11
188,26,36
188,27,15
188,28,34
188,30,22
188,33,7
188,34,2
188,38,36
188,41,9
188,44,7
188,45,9
188,46,21
189,0,10
189,1,12
189,2,10
189,3,11
189,5,14
189,6,12
189,9,1
189,10,7
189,13,11
189,15,15
189,18,19
189,24,14
189,26,19
189,27,5
189,28,15
189,30,14
189,33,6
189,34,4
189,38,17
189,41,9
189,44,7
189,45,9
189,46,1
190,3,1
190,20,1
190,30,1
190,31,1
191,3,1
191,20,1
191,30,1
191,31,1
192,1,1
192,2,1
192,15,2
192,28,2
192,33,1
192,36,1
192,46,1
193,36,1
194,3,2
194,20,6
194,30,2
194,31,6
194,36,5
195,3,13
195,20,12
195,30,13
195,31,13
195,36,8
196,0,3352
196,1,2705
196,2,4711
196,3,1090
196,4,8
196,5,3791
196,6,1514
196,8,17
196,9,8
196,10,2308
196,12,1
196,13,3252
196,14,44
196,15,3649
196,16,16
196,18,4671
196,24,2847
196,26,4641
196,27,44
196,28,3685
196,30,3376
196,33,92
196,34,4384
196,37,1
196,38,4387
196,41,2988
196,44,1
196,45,2230
196,46,87
197,0,16
197,1,2
197,2,19
197,3,11
197,5,11
197,6,13
197,10,3
197,13,17
197,15,19
197,18,18
197,24,18
197,26,19
197,28,3
197,30,18
197,34,17
197,38,19
197,41,3
197,45,3
198,0,137
198,1,71
198,2,137
198,3,26
198,5,134
198,6,31
198,10,101
198,13,136
198,15,137
198,18,136
198,24,130
198,26,137
198,27,2
198,28,108
198,30,128
198,33,3
198,34,130
198,38,134
198,41,110
198,42,1
198,44,6
198,45,110
199,0,90
199,1,3
199,2,109
199,3,29
199,4,1
199,5,103
199,6,33
199,9,1
199,10,64
199,13,80
199,15,88
199,18,107
199,24,72
199,26,109
199,27,1
199,28,91
199,30,82
199,34,104
199,38,99
199,41,76
199,44,3
199,45,74
200,0,1
200,2,1
200,5,1
200,10,1
200,13,1
200,15,1
200,18,1
200,24,1
200,26,1
200,28,1
200,30,1
200,34,1
200,38,1
200,41,1
200,45,1
201,0,66
201,2,73
201,3,29
201,4,1
201,5,65
201,6,34
201,8,1
201,10,29
201,13,58
201,15,63
201,18,64
201,24,56
201,26,70
201,28,37
201,30,54
201,34,59
201,38,70
201,41,33
201,44,1
201,45,35
201,46,1
202,0,3954
202,3,2
202,4,1
202,5,2
202,6,4916
202,7,8
202,13,3790
202,14,609
202,18,5414
202,21,147
202,24,4
202,26,4558
202,27,1699
202,28,2617
202,30,3730
202,37,842
202,38,4571
202,41,1
202,42,3
202,43,776
202,45,5141
202,46,2
203,0,1329
203,6,1275
203,7,2
203,13,1446
203,14,934
203,18,1235
203,21,48
203,26,1
203,27,1120
203,28,459
203,30,1409
203,37,362
203,38,987
203,43,92
203,45,1380
204,6,1
204,18,1
204,26,1
204,27,1
204,30,1
204,38,1
204,45,1
204,46,1
205,0,18
205,6,19
205,13,19
205,15,3
205,18,22
205,21,1
205,24,1
205,26,23
205,27,10
205,28,10
205,30,19
205,38,23
205,45,16
205,46,2
206,6,1
206,18,1
206,26,1
206,38,1
206,45,1
206,46,1
207,0,1
207,6,3
207,13,1
207,18,4
207,26,4
207,27,2
207,38,4
207,42,1
207,45,4
207,46,2
208,0,1
208,6,1
208,18,1
208,26,1
208,27,1
208,38,1
208,45,1
208,46,1
209,0,49
209,5,1
209,6,54
209,13,46
209,15,1
209,18,60
209,24,2
209,26,61
209,27,22
209,28,40
209,30,41
209,38,59
209,45,55
209,46,8
210,6,2
210,18,2
210,26,2
210,38,2
210,45,2
210,46,2
211,0,10
211,3,29
211,6,49
211,13,7
211,18,49
211,26,51
211,27,12
211,28,5
211,30,9
211,37,1
211,38,47
211,45,52
211,46,52
212,0,53
212,3,2
212,6,77
212,13,53
212,15,3
212,18,81
212,21,1
212,26,83
212,27,28
